source_id,title,author_or_publisher,version,doi,url,access_date,local_path,locator,supports,redistribution,sha256,fetch_policy
t2_qwen7b_config,Qwen/Qwen2.5-7B config.json,Qwen Team,d149729398750b98c0af14eb82c78cfe92750796,,https://huggingface.co/Qwen/Qwen2.5-7B/resolve/d149729398750b98c0af14eb82c78cfe92750796/config.json,2026-09-07,configs/qwen7B_config.json,all JSON keys; dimensions and tie_word_embeddings/use_sliding_window,"exact tensor dimension parameters, serialized dtype, config metadata version",Apache-2.0; corresponding LICENSE retained,267ce68584c5f24c3b267d934db2de68dd21d1ca677fb78ed809eb60067f7642,
t2_qwen7b_card,Qwen/Qwen2.5-7B model card,Qwen Team,d149729398750b98c0af14eb82c78cfe92750796,,https://huggingface.co/Qwen/Qwen2.5-7B/resolve/d149729398750b98c0af14eb82c78cfe92750796/README.md,2026-09-07,sources/official/qwen7B_README.md,"Introduction feature list, lines 23-31; Requirements","base causal model; RoPE, SwiGLU, RMSNorm, QKV bias and GQA; official implementation routing",Apache-2.0; corresponding LICENSE retained,8a23291de92bddc940674a5b7088b8443bde94a1df7f1911703d2cd6554c7328,
t2_qwen7b_metadata,Qwen/Qwen2.5-7B repository API snapshot,Qwen / Hugging Face,d149729398750b98c0af14eb82c78cfe92750796; captured API response on 2026-09-07,,https://huggingface.co/api/models/Qwen/Qwen2.5-7B,2026-09-07,sources/official/qwen7_repo.json,sha and safetensors.total fields,actual model commit and independent total parameter count; download/like counters are not used,repository metadata snapshot; dynamic counters prevent byte-identical live re-fetch,0fba918b3aaecd1d0f3aeb25074715d6972c624c67ea3a5c8333e95738222ce2,frozen_snapshot_keep_local
t2_qwen14b_config,Qwen/Qwen2.5-14B config.json,Qwen Team,97e1e76335b7017d8f67c08a19d103c0504298c9,,https://huggingface.co/Qwen/Qwen2.5-14B/resolve/97e1e76335b7017d8f67c08a19d103c0504298c9/config.json,2026-09-07,configs/qwen14B_config.json,all JSON keys; dimensions and tie_word_embeddings/use_sliding_window,"exact tensor dimension parameters, serialized dtype, config metadata version",Apache-2.0; corresponding LICENSE retained,fdb89460be9a6383451437cdf632a3e087522efa682265461f33507e7069f026,
t2_qwen14b_card,Qwen/Qwen2.5-14B model card,Qwen Team,97e1e76335b7017d8f67c08a19d103c0504298c9,,https://huggingface.co/Qwen/Qwen2.5-14B/resolve/97e1e76335b7017d8f67c08a19d103c0504298c9/README.md,2026-09-07,sources/official/qwen14B_README.md,"Introduction feature list, lines 23-31; Requirements","base causal model; RoPE, SwiGLU, RMSNorm, QKV bias and GQA; official implementation routing",Apache-2.0; corresponding LICENSE retained,e408f4734c24731ef86d48993c7747147cc578b1fbe50dec4bfdbae7e83147ec,
t2_qwen14b_metadata,Qwen/Qwen2.5-14B repository API snapshot,Qwen / Hugging Face,97e1e76335b7017d8f67c08a19d103c0504298c9; captured API response on 2026-09-07,,https://huggingface.co/api/models/Qwen/Qwen2.5-14B,2026-09-07,sources/official/qwen14_repo.json,sha and safetensors.total fields,actual model commit and independent total parameter count; download/like counters are not used,repository metadata snapshot; dynamic counters prevent byte-identical live re-fetch,72a532801944b331c2a4e7494277ee8284cdcce9867cb7fc0d8385e716c7e4ac,frozen_snapshot_keep_local
t2_transformers,Transformers Qwen2 modeling_qwen2.py,Hugging Face contributors,v4.45.2; 53fad641cfdb5105e2470bcf3ef17ea8e25cc300,,https://raw.githubusercontent.com/huggingface/transformers/53fad641cfdb5105e2470bcf3ef17ea8e25cc300/src/transformers/models/qwen2/modeling_qwen2.py,2026-09-07,sources/official/modeling_qwen2.py,lines 100-116 causal mask; 265-276 MLP; 280-289 repeat_kv; 309-327 projections; 349-380 reshape/cache/matmuls/softmax; 1089 LM head,"head_dim=h/Hq; exact bias and matrix roles; current-token mask; GQA repeats are software semantics, not required CIM copies",Apache-2.0; transformers_LICENSE retained,c0f712cc217640b9dd3d168ed000a5dc92079fc850385e5604a150c134d70fec,
t2_transformers_config,Transformers Qwen2 configuration_qwen2.py,Hugging Face contributors,v4.45.2; 53fad641cfdb5105e2470bcf3ef17ea8e25cc300,,https://raw.githubusercontent.com/huggingface/transformers/53fad641cfdb5105e2470bcf3ef17ea8e25cc300/src/transformers/models/qwen2/configuration_qwen2.py,2026-09-07,sources/official/configuration_qwen2.py,"Qwen2Config.__init__, use_sliding_window and sliding_window assignment",config interpretation; serialized transformers_version is not a hardware or execution-backend declaration,Apache-2.0; transformers_LICENSE retained,a4da735ab575c3f73a50e5f493e355d1ab271ff3f27fab384294f6cd992ea03f,
t2_pytorch,PyTorch Linear.cpp,PyTorch contributors,v2.4.1; ee1b6804381c57161c477caa380a840a84167676,,https://raw.githubusercontent.com/pytorch/pytorch/ee1b6804381c57161c477caa380a840a84167676/aten/src/ATen/native/Linear.cpp,2026-09-07,sources/official/pytorch_Linear.cpp,"linear(): lines 73-123, especially 96 and 111",forward input @ weight.T plus optional bias,BSD-style; pytorch_LICENSE retained,3264a545db3f6da93dad03e4f65364b980572e936485117e2376b2a7bafa0895,
t2_pytorch_derivatives,PyTorch derivatives.yaml,PyTorch contributors,v2.4.1; ee1b6804381c57161c477caa380a840a84167676,,https://raw.githubusercontent.com/pytorch/pytorch/ee1b6804381c57161c477caa380a840a84167676/tools/autograd/derivatives.yaml,2026-09-07,sources/official/pytorch_derivatives.yaml,addmm lines 256-260; mm lines 1172-1175,links matrix-input gradients to mm_mat1_backward/mm_mat2_backward,BSD-style; pytorch_LICENSE retained,9b9c2ddabf4ca49d3483c0ebff179886dc21ae1db46abd493c72073c6bacc972,
